point_id,x,y,z,r,g,b,n_obs,mean_reproj_error
2727,0.014361618258707524,0.033155813584984074,0.03909470876116673,163,155,149,3,0.3566430935745564
2728,0.027942960494808416,0.027356001605091485,-0.012723425360928076,97,93,83,2,0.1498084961542539
2729,0.010819754218061094,0.0685913707224001,0.016926488302221064,133,128,122,2,0.018308294707430457
2730,0.03953113052012061,0.05268013622862006,0.0076233161398349585,25,26,18,3,0.5374486154627264
2731,0.03270037936394516,0.09939395155528077,0.007297643026890643,77,77,66,4,0.7135116989671738
2732,0.012243645654039431,0.077580266010931,0.01260305346749622,168,166,153,2,0.36844266586807795
2733,0.009601964678099227,0.03988363670973496,0.009456272385279359,135,132,122,2,0.5776468218979804
2734,0.04668988121399129,0.06597333370940336,0.040849885949814355,83,87,73,2,0.2814699487553638
2735,0.04111312057166688,0.09174690709114856,0.02257187524358564,173,166,151,2,0.12255490665115343
2736,-0.0020143604031962045,0.06485033876334682,-0.010050149056866207,51,48,46,4,0.5473104176043821
2737,0.02339144435602923,0.03799240501672163,-0.0006719204154314378,71,64,55,2,0.0022585020024363496
2738,0.01718747319114874,0.03510826321022279,0.04950000792275825,193,189,177,2,0.005584141612188623
2739,-0.012531022195139954,0.06613798617703527,-0.008953557764372613,2,1,0,5,1.4707285527660856
2740,0.025330046976724942,0.03575691756624183,-0.0013325795247583145,129,126,117,3,0.9609814433624293
2741,-0.008311271296240551,0.05386725734761333,-0.008967049582632301,91,87,84,3,0.5349568451306056
2742,0.025967485396494766,0.09812841377361012,0.009661997754801524,147,147,131,3,0.7467822507061581
2743,0.02801309420151461,0.08608073295726935,0.004030009668214683,88,88,82,3,0.14152374302305337
2744,0.0009273167098692275,0.032595311537785984,0.010192810970212397,185,178,166,2,0.06354106681418131
2745,0.048364763404521255,0.08198598514937636,0.02953502693662553,2,1,2,2,0.09663075308002231
2746,0.009384998491481226,0.07829197240284252,-0.00685002292587474,73,71,66,2,0.23718269967708183
2747,0.026531882777288445,0.024308876552737602,0.040592720921608906,18,11,1,2,0.36243093257541326
2748,0.038947254930305604,0.03354919189399663,0.01024503160844565,167,163,147,2,0.1766264235509195
2749,0.040342106475369635,0.05228896585836394,0.014788620015489915,77,78,70,2,0.16113984115788332
2750,0.001549309290438014,0.032078839713311984,0.027174943397406854,192,186,172,2,0.07144278035169935
2751,0.042561180910726075,0.07201649829732135,0.03237130087792842,157,149,140,2,0.03087001659955685
2752,0.02310430895230235,0.09161938633448473,0.008048842619650188,160,161,149,2,0.8246491863522447
2753,0.0076174219693129685,0.04734973931287001,0.0024554333834456363,109,104,89,4,1.1830228496753477
2754,0.048188698566405515,0.07250662332786172,0.038607821903996094,4,1,2,2,0.49502673076645254
2755,0.028667248426931156,0.044921487301263954,0.041029347946592465,201,192,184,2,1.0239870547043668
2756,0.04581950247615413,0.06876309634553353,0.04122469475414749,169,172,150,2,0.9265655352103472
2757,-0.004394923183446585,0.06699003371968981,-0.009315969166351624,223,221,192,3,0.09411104838193879
2758,0.049994236865390125,0.07329542547802516,0.03386348839648455,129,129,124,5,0.12450180578054008
2759,0.03495641505177426,0.047261255369397404,0.007279255083073536,73,67,59,2,0.7965677126394107
2760,-0.009631479157192152,0.06475295041597019,-0.009876115391394024,111,104,99,2,0.6773342816732046
2761,0.038747136271889616,0.04780125626026496,0.004866963035652179,124,115,104,3,0.7115773597465423
2762,-0.011916152765375432,0.058814602259585944,-0.011873822809627607,88,86,80,2,0.08408290442584113
2763,0.046136047501058555,0.0862269084359892,0.02703874145833206,202,191,183,3,0.26336090863085587
2764,-0.009888738012960058,0.05509664739916236,-0.006084889995654882,218,214,192,4,0.1368700476755445
2765,0.03076896379213454,0.0949477778276113,0.004318509541847255,144,149,136,2,0.3892751189604195
2766,-0.01571202717557268,0.034241633047009105,-0.01196240358256975,87,81,77,2,0.009569376540166683
2767,0.025494587825499744,0.08811520453777338,0.00943808445500354,151,146,137,2,0.5640984891501187
2768,0.035947497120489176,0.09684265892329871,0.015074875926751729,184,170,156,3,0.45729981789649404
2769,0.03831573432228028,0.0436931920216568,0.023615875899728037,71,67,56,2,0.2529084877680796
2770,0.02335338068139492,0.038971986010970766,-0.00011494423456815795,76,69,59,2,0.44982686762005286
2771,0.016348854889789106,0.024427054348028828,0.039049766974385086,51,52,52,2,0.05618357934572267
2772,0.0339331919981888,0.09151979162133468,0.00863620744788766,91,87,78,2,0.7545316189354063
2773,-0.01781510761295862,0.03937379548299461,-0.005615520381804607,117,112,106,2,0.6959515938224883
2774,-0.012182935006837176,0.06424657248373505,-0.010288466962399469,141,131,115,7,1.6960239681844131
2775,0.026078356681669527,0.09487454049135262,-0.0004639340930558659,61,60,56,3,0.6194920335800616
2776,-0.0371426926104247,0.018819208872643014,0.05505041763487049,15,13,11,2,0.07366070693871712
2777,-0.003337431814838094,0.021072113748783722,-0.0016548122671755292,9,5,3,2,0.08428163116433973
2778,0.030760805588589755,0.08317845503051807,0.015159314567835213,252,246,227,2,0.15215228446531637
2779,-0.0024449115257650436,0.0808544374893785,-0.012495848551011202,141,141,108,3,0.4234392370831128
2780,0.03785377315451651,0.04777328552772305,0.04546453333199718,175,162,157,4,0.1035469906217633
2781,0.001597544380322425,0.08188619246399476,-0.013008481742735178,88,85,79,2,0.015513152702347712
2782,0.004773742764175971,0.03227865087618629,0.029506040514144186,207,197,190,2,0.08810564606452845
2783,0.013915584940085447,0.04364247251470644,0.014774154353155657,156,147,130,3,0.5966369843028114
2784,0.01206179577931848,0.03223385031918165,0.032922904098091864,214,205,192,3,0.18962529676305148
2785,0.04595570489841967,0.07895490001987444,0.03081041697090776,221,214,200,2,0.6405335042883633
2786,0.044995648828374764,0.08577678444190534,0.022844528960613623,200,200,187,2,0.15758100244819945
2787,0.01623910778128327,0.03448494403211251,0.04918515363306494,179,173,164,2,0.04398890534818074
2788,-0.006323783153125278,0.025775103945347894,0.00249806291462615,7,2,1,3,0.3720807670727286
2789,0.011388866473339346,0.08597187834492516,-0.012113674396220448,68,70,74,2,0.697208787350948
2790,0.03648243672961538,0.04491358443821374,0.04811920849992476,141,128,122,2,0.06512853584023656
2791,-0.002693812873727373,0.07983038029116642,-0.010923114863710032,124,123,100,4,0.6025280626093468
2792,0.021557628042416416,0.10316903740203172,-0.0027967794157623374,129,130,114,2,0.4222467858136145
2793,0.026157037930241905,0.08770891393718035,0.0114810061574941,132,127,118,2,0.25934443742214686
2794,0.020826073591380473,0.03617424337524237,0.04400866696860857,198,189,182,4,0.768157899762601
2795,0.026119683053845086,0.08504006620850955,0.002439416045504425,60,58,50,2,0.7790061013857579
2796,0.02620601357732228,0.03440831358620901,0.005351136849487557,128,125,114,2,0.15292080820063628
2797,0.010920449108383926,0.08176024614522112,-0.001143180199797632,203,201,182,2,0.27749449658194814
2798,0.006200909701049039,0.08152654835181727,-0.009701166866741068,229,227,199,2,0.675958041289227
2799,0.030993306628483576,0.10526692031919921,0.009988747509525898,108,112,105,3,0.5036629421143676
2800,0.02204472144113517,0.09322947690224577,0.006029446434050779,149,148,138,6,0.790707500825416
2801,0.03906552778242532,0.08384327152151587,0.01631303809684579,69,70,61,4,0.45552220876100036
2802,-0.01305349158167585,0.047044884043396705,-0.005641102910288138,140,138,120,2,0.18223736674617302
2803,0.04171300401905899,0.05257214257760014,0.014777193063102226,50,51,44,2,0.19424146022987926
2804,0.029447794723946975,0.10773151162861684,0.009488323137214549,1,0,0,3,0.52292156065787
2805,0.040444646761571806,0.08712513500327014,0.015475929635455184,62,60,59,2,0.3433272276398158
2806,0.039945215499772195,0.0534850382954158,0.04777527329271643,170,161,152,2,0.07948957749159026
2807,0.04004903376682085,0.028771716826567217,0.015748775727767967,167,165,150,2,0.6772876707477998
2808,0.005971623064930119,0.03344198686108369,0.021066917367355706,203,194,186,2,0.26078170421773983
2810,-0.02631936567770659,0.024218575946013975,-0.014772879203158788,23,17,13,3,1.1468295372990938
2811,0.015823313169749744,0.0238062506377994,0.039400289196330825,13,7,0,3,0.28201731854999956
2812,0.02200911958063718,0.035271108309379705,-0.005995520524936961,101,98,89,4,0.47453897202766243
2813,-0.007782027692731772,0.04085072937675967,-0.005552235647629776,207,204,184,2,0.4521907767936595
2814,0.023461399156350173,0.0843660443218693,0.008876578612321589,215,208,192,6,1.854473324888641
2815,0.01214232380652226,0.03199820494357297,0.04774264104511251,199,186,176,2,0.07219585187398045
2816,0.037853275694576485,0.08402294939700752,0.014808356003735566,44,43,36,6,1.2976746000319535
2817,0.006880282034278456,0.08011115409314265,-0.003382991771678948,211,209,193,2,0.522494562408289
2818,0.02665854718024457,0.09671170109928628,-0.0007098247602763747,63,63,58,2,0.10942278630338373
2819,-9.826930815270904e-05,0.032963866049587495,0.011538624291402635,178,174,160,2,0.1947995664778942
2820,0.00029617028762359086,0.06724263902096089,-0.00757918927462409,119,120,102,2,0.10765005494727543
2821,0.03525935663525038,0.047976712779884995,0.005949282216484231,58,54,48,2,0.5286479730168845
2822,-0.0002747886159478125,0.02714259298568961,-0.0058279849452160075,87,83,82,4,0.7186552841185326
2823,0.03541633540328981,0.08954466497622535,0.009365770985740986,63,61,59,2,0.42179266963964157
2824,0.026405907322367715,0.10299914640408202,0.004719466955507015,116,120,116,2,0.0493704733670861
2825,0.007627549772518554,0.03621605056435844,0.01580847305333714,229,222,215,2,0.6036621616370241
2826,-0.05376604698301627,0.01748714055521411,-0.039358170489767086,9,8,7,2,0.21629484041687597
2827,-0.01691603187549114,0.027302559787364924,-0.006242680004521323,15,12,7,2,0.7069330413122618
2828,0.009370609879594012,0.07970926501543645,-0.0033076085071300516,151,149,133,7,0.8438266276195103
2829,0.045434631912770335,0.06190548425007441,0.04583055281742524,8,6,4,3,0.9899666230040287
2830,-0.002049246160391838,0.07944052493512258,-0.014016574280591549,110,108,103,2,0.22341885024430524
2831,0.0008885844585590674,0.07027164362849145,-0.0059897402085522045,209,211,194,4,0.20516899547717424
2832,0.023772948121278576,0.037370313559341825,0.045961864556909086,135,126,118,4,0.7190922829972624
2833,0.03798961582314599,0.08617253940021107,0.012657807787754365,67,66,63,2,0.6986026445479934
2834,0.023087335738262025,0.0718996540535194,0.011296991963536946,223,214,206,2,0.12135006963143533
2835,0.04429010281424103,0.0683580067345465,0.029817332619659867,52,52,42,2,0.14182585222925467
2836,0.006917857683061723,0.024814756606904458,0.04390394430315798,11,3,5,2,0.9583815119119059
2837,-0.01303150423975996,0.029463696111150378,-0.008734703938934408,20,18,15,2,0.4239024500551968
2838,-0.010879102719110752,0.05841210884050816,-0.008296138523035679,139,134,111,3,0.7963935630151214
2839,0.013593528557640355,0.03581002842911164,0.02119674955492879,133,126,115,3,0.8666983969462452
2840,0.01772062515128444,0.04567579382937443,-0.00524194325952642,90,90,86,3,0.32127831491137676
2841,0.041757770132555334,0.05255346077744643,0.019299272121139136,35,32,18,2,0.04085972614808432
2842,0.01623826946331749,0.034491258099365506,0.049186464728874106,182,175,163,3,0.050897901161780425
2843,0.024117409049331316,0.1018819397970688,0.002538582227375799,137,139,124,3,0.16059923354022654
2844,0.026838045989914724,0.03760076946721024,0.05197572650414084,101,92,83,2,0.006663091015183836
2845,-0.00424366865394799,0.031298274973533456,-0.006598285844552916,164,157,148,2,0.3327911963944681
2847,-0.008514382891233727,0.03896730252327735,-0.01158799822410104,101,97,89,2,0.22500108818389156
2848,-0.013420691637494028,0.025764772654912987,-0.010978277759835684,14,8,3,2,0.2384114561788312
2849,0.014922181663326033,0.08059169040397524,0.003638335823069718,185,181,172,2,0.6015492715942441
2850,0.04382473752648043,0.06816720889562795,0.03983618104410723,193,185,178,2,0.8104557687165278
2851,0.016451481323055083,0.024452767036947484,0.03912272815399961,62,61,60,2,0.05595423492572979
2852,-0.005313531585867728,0.024120121070945136,0.014491622475032133,112,113,101,2,0.3270580620268705
2853,0.03633703983183512,0.042550575261608034,0.003491079693431688,91,87,80,2,0.5348140791750176
2854,0.032522113550223525,0.042461392797229526,0.04992118390674892,183,176,165,3,0.4137539017388609
2855,0.032791200928953546,0.06277385915285941,-0.004620674923649148,73,69,68,2,0.13999606224585553
2856,0.04412238966883868,0.05183456566139526,0.04727324725839184,15,1,0,2,0.26002451850212194
2857,0.02120338283583833,0.048955092429981306,0.025591522685706643,201,192,185,2,0.7192941390783656
2858,0.029958212006844363,0.05312999416447953,0.02873589639186859,152,140,130,2,0.2683496101107512
2859,0.029733619066724188,0.041097235461800476,0.05202627421274176,151,143,134,3,0.24952474215532583
2860,0.007918299843788773,0.08099588162340172,-0.01126283709681467,99,97,93,2,0.15518608301886377
2861,0.03493712385253765,0.08324689029666314,0.021009921762348633,166,157,150,2,0.11074307510231296
2862,0.02819431963748473,0.09374096224674908,0.013168324868820977,180,178,167,2,0.16163934741988656
2863,0.029095177792122732,0.10342723217836658,0.011524733847274102,151,146,133,2,0.5859043935290849
2864,0.038430270607718954,0.04924176184834821,0.00918799166593077,61,55,50,3,1.289644471428555
2865,0.042120539218992545,0.05269776232898589,0.04845744664261781,151,142,135,2,0.07358183444119432
2866,0.029648593396177526,0.04400606052304582,0.04208004332382362,184,177,168,3,0.9171423401380041
2867,0.024757094684912165,0.050831013063876565,-0.006107407488093552,64,63,57,2,0.25522411420377744
2868,0.021362185932841813,0.03847678700172496,0.024194485949879458,158,149,136,3,0.9031645152618543
2869,0.03144152336670077,0.08522775236046293,0.00919700926990996,68,67,60,2,0.026742479955617977
2870,-0.011341108719265294,0.032401606547977004,-0.010727489659439286,60,54,52,2,0.06872639555428417
2871,-0.016345710112063025,0.04191372804435348,-0.007663072772049343,136,136,115,2,0.47554433280389363
2872,0.040673769689753364,0.051931571747203094,0.04991130514187782,5,3,2,5,1.1703757694280694
2873,-0.012888420047342754,0.03957783650939391,-0.009436088756092604,146,139,132,4,1.038993208493204
2874,0.0426617461894629,0.0498036327320319,0.048106367721791866,214,199,185,2,0.8842597538636666
2875,0.024772947487748772,0.09206144016818087,0.009159732216198811,146,140,133,3,0.3244479951599779
2876,0.0395712951060002,0.06427349991896772,0.034306882618259385,121,113,110,2,0.5845132095426193
2877,-0.01838630929463203,0.030688433737186046,-0.01250935016846844,1,0,0,2,0.2970354366388449
2878,0.02238746819882579,0.09745547412776201,-0.0048123147137669455,80,79,74,2,0.6481354853355231
2879,0.038345114574803885,0.05437834872641981,0.04119163914183635,140,131,127,2,0.5853907250800015
2880,-0.024967048066004534,0.024972619881644117,-0.0013014908201328561,22,16,12,2,0.05090050663320372
2881,0.007789909186909474,0.08459004199422185,-0.01265651721228883,215,204,188,2,1.053575606611488
2882,0.03969086914076133,0.08326835333524343,0.016346997225569825,57,56,47,3,1.2544371515104638
2883,-0.011924818306617457,0.03984215513624924,-0.0006216436116846304,213,209,189,2,0.9118342627389009
2884,0.03852090799312481,0.05048975354952662,0.0065239223312727425,35,35,28,2,0.26791303774725095
2885,0.04749985481795737,0.07149762369429007,0.043469980579710035,51,53,42,2,0.34432865220838205
2886,0.006141606170253771,0.029389680498574156,0.0360133697841533,189,175,157,2,0.03552447860348251
2887,0.030923828771502043,0.05434775822432219,0.03412795924502056,140,130,127,3,0.3766193237802779
2888,0.011436610090000653,0.0408061876186858,0.00981464763021419,145,138,126,2,0.9033242778600246
2889,-0.025003655193009056,0.02277050427213758,0.038615049330699425,23,17,16,2,0.08561485780235595
2890,0.03989998723606304,0.04383798136006541,0.05339572331315776,14,9,9,3,0.7025696346760292
2891,-0.016025784395654188,0.02104150059860304,0.047256266189553024,30,26,21,2,0.033706916159466624
